DATE,CLOSE,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9
34401,411.97,412.99,417.52,418.45,415.31,412.83,412.93,409.43,409.77,413.08,411.97
34400,415.3,417.52,418.45,415.31,412.83,412.93,409.43,409.77,413.08,411.97,415.3
34397,411.99,418.45,415.31,412.83,412.93,409.43,409.77,413.08,411.97,415.3,411.99
34396,408.17,415.31,412.83,412.93,409.43,409.77,413.08,411.97,415.3,411.99,408.17
34395,408.18,412.83,412.93,409.43,409.77,413.08,411.97,415.3,411.99,408.17,408.18
34394,409.69,412.93,409.43,409.77,413.08,411.97,415.3,411.99,408.17,408.18,409.69
34393,412.17,409.43,409.77,413.08,411.97,415.3,411.99,408.17,408.18,409.69,412.17
34390,406.45,409.77,413.08,411.97,415.3,411.99,408.17,408.18,409.69,412.17,406.45
34389,402.79,413.08,411.97,415.3,411.99,408.17,408.18,409.69,412.17,406.45,402.79
34388,408.91,411.97,415.3,411.99,408.17,408.18,409.69,412.17,406.45,402.79,408.91
34387,410.48,415.3,411.99,408.17,408.18,409.69,412.17,406.45,402.79,408.91,410.48
34383,407.94,411.99,408.17,408.18,409.69,412.17,406.45,402.79,408.91,410.48,407.94
34382,407.39,408.17,408.18,409.69,412.17,406.45,402.79,408.91,410.48,407.94,407.39
34381,408.74,408.18,409.69,412.17,406.45,402.79,408.91,410.48,407.94,407.39,408.74
34380,408.28,409.69,412.17,406.45,402.79,408.91,410.48,407.94,407.39,408.74,408.28
34379,405.11,412.17,406.45,402.79,408.91,410.48,407.94,407.39,408.74,408.28,405.11
34376,401.83,406.45,402.79,408.91,410.48,407.94,407.39,408.74,408.28,405.11,401.83
34375,401.31,402.79,408.91,410.48,407.94,407.39,408.74,408.28,405.11,401.83,401.31
34374,403.91,408.91,410.48,407.94,407.39,408.74,408.28,405.11,401.83,401.31,403.91
34373,401.46,410.48,407.94,407.39,408.74,408.28,405.11,401.83,401.31,403.91,401.46
34372,399.62,407.94,407.39,408.74,408.28,405.11,401.83,401.31,403.91,401.46,399.62
34369,397.48,407.39,408.74,408.28,405.11,401.83,401.31,403.91,401.46,399.62,397.48
34368,410.05,408.74,408.28,405.11,401.83,401.31,403.91,401.46,399.62,397.48,410.05
34367,411.78,408.28,405.11,401.83,401.31,403.91,401.46,399.62,397.48,410.05,411.78
34366,410.22,405.11,401.83,401.31,403.91,401.46,399.62,397.48,410.05,411.78,410.22
34365,413.99,401.83,401.31,403.91,401.46,399.62,397.48,410.05,411.78,410.22,413.99
34362,412.52,401.31,403.91,401.46,399.62,397.48,410.05,411.78,410.22,413.99,412.52
34361,409.93,403.91,401.46,399.62,397.48,410.05,411.78,410.22,413.99,412.52,409.93
34360,407.19,401.46,399.62,397.48,410.05,411.78,410.22,413.99,412.52,409.93,407.19
34359,406.48,399.62,397.48,410.05,411.78,410.22,413.99,412.52,409.93,407.19,406.48
34358,409.23,397.48,410.05,411.78,410.22,413.99,412.52,409.93,407.19,406.48,409.23
34355,411.59,410.05,411.78,410.22,413.99,412.52,409.93,407.19,406.48,409.23,411.59
34354,411.53,411.78,410.22,413.99,412.52,409.93,407.19,406.48,409.23,411.59,411.53
34353,406.38,410.22,413.99,412.52,409.93,407.19,406.48,409.23,411.59,411.53,406.38
34352,410.95,413.99,412.52,409.93,407.19,406.48,409.23,411.59,411.53,406.38,410.95
34351,410.79,412.52,409.93,407.19,406.48,409.23,411.59,411.53,406.38,410.95,410.79
34348,411.75,409.93,407.19,406.48,409.23,411.59,411.53,406.38,410.95,410.79,411.75
34347,408,407.19,406.48,409.23,411.59,411.53,406.38,410.95,410.79,411.75,408
34346,408.47,406.48,409.23,411.59,411.53,406.38,410.95,410.79,411.75,408,408.47
34345,407.85,409.23,411.59,411.53,406.38,410.95,410.79,411.75,408,408.47,407.85
34344,408.91,411.59,411.53,406.38,410.95,410.79,411.75,408,408.47,407.85,408.91
34341,404.78,411.53,406.38,410.95,410.79,411.75,408,408.47,407.85,408.91,404.78
34340,404.21,406.38,410.95,410.79,411.75,408,408.47,407.85,408.91,404.78,404.21
34339,401.07,410.95,410.79,411.75,408,408.47,407.85,408.91,404.78,404.21,401.07
34338,398.19,410.79,411.75,408,408.47,407.85,408.91,404.78,404.21,401.07,398.19
34337,395.53,411.75,408,408.47,407.85,408.91,404.78,404.21,401.07,398.19,395.53
34334,398.28,408,408.47,407.85,408.91,404.78,404.21,401.07,398.19,395.53,398.28
34333,397.725,408.47,407.85,408.91,404.78,404.21,401.07,398.19,395.53,398.28,397.725
34332,395.38,407.85,408.91,404.78,404.21,401.07,398.19,395.53,398.28,397.725,395.38
34331,394.74,408.91,404.78,404.21,401.07,398.19,395.53,398.28,397.725,395.38,394.74
